sr no. ,Distric,state,latitude,longitude,zones
388,Ratnagiri,MAHARASHTRA,,,orange
389,Jalna,MAHARASHTRA,,,orange
390,Nanded,MAHARASHTRA,,,orange
391,Chandrapur,MAHARASHTRA,,,orange
392,Parbhani,MAHARASHTRA,,,orange
393,Sangli,MAHARASHTRA,,,orange
394,Latur,MAHARASHTRA,,,orange
395,Bhandara,MAHARASHTRA,,,orange
396,Beed,MAHARASHTRA,,,orange
397,Osmanabad,MAHARASHTRA,,,green
398,Washim,MAHARASHTRA,,,green
399,Sindhudurg,MAHARASHTRA,,,green
400,Gondia,MAHARASHTRA,,,green
401,Gadchiroli,MAHARASHTRA,,,green
402,Wardha,MAHARASHTRA,,,green
403,lmphal West,MANIPUR,,,green
404,Thoubal,MANIPUR,,,green
405,Bishnupur,MANIPUR,,,green
406,Chandel,MANIPUR,,,green
407,Churachandpur,MANIPUR,,,green
408,lmphal East,MANIPUR,,,green
409,Senapati,MANIPUR,,,green
410,Tamenglong,MANIPUR,,,green
411,Ukhrul,MANIPUR,,,green
412,Kakching,MANIPUR,,,green
413,Kangpokpi,MANIPUR,,,green
414,Jiribam,MANIPUR,,,green
415,Noney,MANIPUR,,,green
416,Pherzawl,MANIPUR,,,green
417,Tengnoupal,MANIPUR,,,green
418,Kamjong,MANIPUR,,,green
419,East Khasi Hills,MEGHALAYA,,,orange
420,East Garo Hills,MEGHALAYA,,,green
421,West Jaintia Hills,MEGHALAYA,,,green
422,Ri Bhoi,MEGHALAYA,,,green
423,South Garo Hills,MEGHALAYA,,,green
424,West Garo Hills,MEGHALAYA,,,green
425,West Khasi Hills,MEGHALAYA,,,green
426,North Garo Hills,MEGHALAYA,,,green
427,East Jaintia Hills,MEGHALAYA,,,green
428,South West Khasi Hills,MEGHALAYA,,,green
429,South West Garo Hills,MEGHALAYA,,,green
430,Aizawl,MIZORAM,,,green
431,Champhai,MIZORAM,,,green
432,Kolasib,MIZORAM,,,green
433,Lawngtlai,MIZORAM,,,green
434,Lunglei,MIZORAM,,,green
435,Mamit,MIZORAM,,,green
436,Saiha,MIZORAM,,,green
437,Serchhip,MIZORAM,,,green
438,Hnahthial,MIZORAM,,,green
439,Saitual,MIZORAM,,,green
440,Khawzawl,MIZORAM,,,green
441,Dimapur,NAGALAND,,,green
442,Kohima,NAGALAND,,,green
443,Mokokchung,NAGALAND,,,green
444,Mon,NAGALAND,,,green
445,Phek,NAGALAND,,,green
446,Tuensang,NAGALAND,,,green
447,Wokha,NAGALAND,,,green
448,Zunheboto,NAGALAND,,,green
449,Peren,NAGALAND,,,green
450,Kiphire,NAGALAND,,,green
451,Longleng,NAGALAND,,,green
452,Jaiapur,ODISHA,,,red
453,Bhadrak,ODISHA,,,red
454,Baleshwar (Balasore),ODISHA,,,red
455,Khordha,ODISHA,,,orange
456,Sundargarh,ODISHA,,,orange
457,Kendrapara,ODISHA,,,orange
458,Koraput,ODISHA,,,orange
459,Dhenkanal,ODISHA,,,orange
460,Kalahandi,ODISHA,,,orange
461,Cuttack,ODISHA,,,green
462,Puri,ODISHA,,,green
463,Anugul,ODISHA,,,green
464,Balangir,ODISHA,,,green
465,Bargarh,ODISHA,,,green
466,Boudh,ODISHA,,,green
467,Deogarh,ODISHA,,,green
468,Gajapati,ODISHA,,,green
469,Ganjam,ODISHA,,,green
470,Jagatsinghpur,ODISHA,,,green
471,Jharsuguda,ODISHA,,,green
472,Kandhamal,ODISHA,,,green
473,Kendujhar,ODISHA,,,green
474,Malkangiri,ODISHA,,,green
475,Mayurbhanj,ODISHA,,,green
476,Nabarangpur,ODISHA,,,green
477,Nayagarh,ODISHA,,,green
478,Nuapada,ODISHA,,,green
479,Rayagada,ODISHA,,,green
480,Sambalpur,ODISHA,,,green
481,Sonepur,ODISHA,,,green
482,Pondicherry,PUDUCHERRY,,,orange
483,Karaikal,PUDUCHERRY,,,green
484,Mahe,PUDUCHERRY,,,green
485,Yanam,PUDUCHERRY,,,green
486,Jalandhar,PUNJAB,,,red
487,Patiala,PUNJAB,,,red
488,Ludhiana,PUNJAB,,,red
489,SAS Nagar (Mohali),PUNJAB,,,orange
490,Pathankot,PUNJAB,,,orange
491,Mansa,PUNJAB,,,orange
492,Tarn Taran,PUNJAB,,,orange
493,Amritsar,PUNJAB,,,orange
494,Kapurthala,PUNJAB,,,orange
